B4DME9	KLC4
B4DWW4	MCM3
Q9BUB1	PRKAR2A
K7ERF1	EIF3K
Q96HY3	CALM3
Q504U8	EGFR
E7ETY2	TCOF1
E7ETY4	MARK2
F8VPD4	CAD
M0QZW1	PRKD2
E9PQZ1	EEF1D
E9PL09	RPS3
H0YBP1	PTK2
V9GYZ6	EPRS
Q5HY54	FLNA
E9PRY8	EEF1D
F5GWX5	CHD4
E9PQW4	MAPK3
E9PCT1	SRRM1
E7EUU4	EIF4G1
E7EVA0	MAP4
E9PJF0	MAPK3
F8W726	UBAP2L
Q5VY93	ARHGEF2
E9PK01	EEF1D
K7EPB2	PRKAR1A
E9PGM1	EIF4G1
K7EJ40	PRKAR1A
H7C4X9	ZMYND8
H3BTN5	PKM
C9J6P4	ZC3HAV1
E9PC69	MARK2
A6NEM2	HCFC1
F5GX68	DNMT1
H3BQ34	PKM
M0R0P8	MYO9B
E9PBS1	PAICS
K7EK41	PRKAR1A
M0R300	MYO9B
Q2TAK2	PHF12
B7Z4C8	RPL31
G3V411	ZC3H14
D6RAT0	RPS3A
F5GWU7	SMAD5
Q3MSN4	NR3C1
G3V1L9	TJP1
B7Z4N8	USP14
G3V192	FTH1
B7Z4E3	RPL31
B4E3P0	ACLY
B4DSN5	PTPN1
B4E2E0	DYNC1LI2
Q5T1Z4	PUM1
B4DGU4	CTNNB1
G3XAC6	RBM39
J3KPP4	LUC7L3
Q5TH30	NDRG3
E9PHY5	EPB41L2
B7Z2E6	YWHAZ
F6WML8	BAG6
Q5T1Z8	PUM1
B4DR80	STK24
F6U341	BAG6
Q96RR5	HCA90
B4DP61	SMN1
A8MV53	PPAN
B4DJX4	PLEKHA5
A8MXR0	LRRFIP2
B4DFG0	DEK
B1AKJ5	NRD1
C9JZR2	CTNND1
B3KNX7	PAK1
B5MCE7	BZW2
B4DQX7	ZYX
Q96L35	EPHB4
G3XAM7	CTNNA1
G5E9A6	USP11
R4GNB2	DENND4C
G5E948	MAP4K4
B0YJC4	VIM
B4DS13	EIF4B
B3KR49	MAPK3
B4DGD8	GAPVD1
B4DTR1	ERBB2
D6RIY6	EXOSC9
J3KPF3	SLC3A2
E9PI39	EEF1D
B1AKN3	RERE
G3V1D1	FTH1
B0AZS6	YWHAZ
Q2YD85	KCNAB2
Q6IC75	GGA1
B1AHB1	MCM5
K4DI93	CUL4B
B4DDD6	DBNL
D3DQV9	EIF4G2
B7Z7F3	ZNF8
K7EQY5	MATK
J3KN32	RCOR1
E7EPA1	PRPSAP2
D6R938	CAMK2D
Q6PIR0	CENPC1
B7Z9C2	NAP1L1
G5E972	TMPO
Q5U8S2	STX10
B4DS61	SRPK1
B4E022	TKT
B1AKN7	NFIA
B7WPE2	EML3
C9JVP0	FOXJ3
C9IYK2	SMC4
Q5VWC4	PSMD4
Q5HY57	EMD
E9PKI6	BCLAF1
B4E0K5	MAPK14
B7ZLW7	MTR
G5E9C8	SOS1
B4DUX5	METAP2
E7EQZ4	SMN1
Q2T9J9	TTC7A
H7BY22	ZBTB44
B7Z8L1	PPHLN1
B3KSH1	EIF3F
B4DDC6	PTGES3
J9JID7	LMNB2
Q573B4	LCK
B4DTU4	LIG1
Q24JQ7	ATXN2
F8VPI7	STAU2
B4DXZ6	FXR1
B4E1K0	KIF23
Q8N749	TOM1L1
Q5SWX3	CAMK2G
B7Z5N5	SMAD2
A2A3R5	RPS6
B3KTC7	MRE11A
E7ESA6	PTK2
J3QK86	BAZ2A
B2R9C2	FAM76B
G3XAA2	MAP4K4
Q5H962	HUWE1
B4DTG6	LSM14A
B1APP8	PFKP
B4DWJ1	PTK2
Q05GC8	BCAR2
Q0VAN0	AKT2
B7Z4B8	HNRNPUL1
E9PBF9	ATF2
Q9HBD4	SMARCA4
Q3B891	BRCA1
B0FLL2	PFKFB2
A8MYJ1	AKAP13
C9JUT4	LPP
G3V1P3	LOH12CR1
Q7Z651	CDC16
B3KVH1	WIZ
Q96J17	NOLC1
B7ZKM0	SART3
B4DXL3	CLN3
G5E9C7	MAP2K2
B1AK88	CAPZB
Q5H907	MAGED2
B4DDP6	DBNL
B3KV44	NAP1L1
Q8WU40	CAMK2G
B3KM87	MATR3
B4DY08	HNRNPC
G5EA03	LIMCH1
B5MDQ0	ERCC6L
A8MXP9	MATR3
C9JFE4	GPS1
M0R2R2	PRKD2
G5E9E7	TJP1
Q5SRQ6	CSNK2B
B1AL79	PKN2
Q6P4G7	TRA@
J3KNK7	PDXDC1
A8MY87	KSR1
B5MCX3	SEPT2
C9IZ08	GAPVD1
C9JXK9	LPP
C9J1X3	TNK2
H7BXH2	PPP6R3
C9J0I9	ZC3HC1
H9KV28	DIAPH1
E7EMV0	DIAPH1
E7EMU4	DYNC1I2
E7ER32	MKL1
E7ER40	PHF3
E7EX73	EIF4G1
E9PAU2	RAVER1
E9PJF4	CLNS1A
E9PBI4	PTK2B
E9PK52	EPB41L2
E9PD53	SMC4
E9PMQ6	HSF1
E9PMS6	LMO7
E9PPR1	EEF1D
F2Z2U4	TRRAP
B1AUU8	EPS15
Q5RI18	HNRNPU
F6U1F2	BAG6
Q5JVV3	ABLIM1
F5GXU9	BCKDHA
F5H039	GPHN
F5H269	DMXL1
F8W6I7	HNRNPA1
Q5JSD1	VDAC2
F8W9S7	GAPVD1
F8VY35	NAP1L1
F8VZX2	PCBP2
F8VU39	BAZ2A
F8VUX1	NAP1L1
G8JLB6	HNRNPH1
G3V2Q1	HNRNPC
G3V4C1	HNRNPC
G3V529	DDX24
H0YLX2	RFX7
H0Y3P2	EIF4G2
H0Y424	LMO7
H0YAZ3	SORBS3
H0YH87	ATXN2
H0YCN2	RSF1
H0YIY6	MARK3
H0YJH7	TMPO
H0YEN2	PPP6R3
H0YL70	LITAF
Q5JQ13	VCL
H0YLE8	IQGAP1
I3L3H2	EIF4A3
M0R3F1	HNRNPUL1
X6R6D0	SHC1
J3QR29	CDK11B
K7EP28	SMARCA4
H3BT71	RBMX
H3BTJ2	PKM
H3BTW3	CHD9
H3BU13	PKM
H7C360	MAP4K4
H7C3H4	SETD2
H7BYT1	CSNK1D
H3BP78	FANCI
S4R2Y4	CBX3
F5H6A0	CLIP1
H0YJ34	FERMT2
E9PF82	CAMK2D
C9JQE8	NCOR2
F5H8D7	FOXH1
E5RIF2	ARFGEF1
E9PCX8	TNS3
E9PQ01	PCF11
F6R851	ANKRD49
A0A024R176	SLC9A7
A0A024RAL1	CSPG2
H3BS94	GPR56
B2XK23	ND5
A5D6X1	MAP1B
B2XMC8	ND5
D3YR87	GDF5
H9NQZ2	ND5
I0EZ72	CDC27
I2GUA2	RAET-1E
I2GUA4	RAET-1E
I2GUA5	RAET-1E
I2GUA6	RAET-1E
J3QZS3	ND6
Q8IUU5	RASGRF1
Q9H9C5	DUB1
B5MCY7	CEACAM21
Q305G4	ND4
Q15989	HLX1
X5CIF1	ATP6
Q8IU87	PROS1
A6ZCE8	CYTB
D3DSQ2	PSD3
F2Z2K8	ATG4B
H3BRI2	GPR56
J3QT48	HAUS2
Q6L635	ABO
Q7Z2E2	RPS6KA3
Q8N167	PBR
Q9BS48	HSF2
Q9GZT7	OGG1 type 1h
Q9UBM2	ETV6
Q9UMV1	C4B
A0A024RBI9	DEPDC4
A4D158	NPY
B1AJZ2	VPS13D
B4DEW1	FUT9
B4DIH5	COPS2
B4DJ89	POLR2E
B4DJC3	H2AFY
B5BU38	ANXA1
D6RAH7	UBE2D3
E5RG25	UBE2W
H3BMI1	ZFP90
H3BPN2	DCTPP1
Q16673	PMS7
Q305W5	ND2
Q8WXM6	DRD4
Q9HCN5	GPVI
Q9UEL0	CD95
B0V023	C6orf25
B0Z6P6	ND1
B2XGX5	ND1
B4DFI3	CELF5
B4DMN2	ZNF302
B3W6G7	FUT2
B4DR24	ZSCAN32
B5BU15	SFRS6
B8YNV0	HNF1alpha
C3W980	SYK
E5RJX2	RPS20
F8QWU2	DUX4
H0YLF1	DCAF11
P78433	GALT
Q53SE3	ORC4L
Q5Y7G1	HLA-DQA1
Q6WBE7	GYPE
Q7Z2E9	TM4SF2
Q7Z2J0	L1CAM
Q9GZP5	ATP7B
A4D7U9	ATF2
V9TNI8	PRF1
A4ZL74	ND4
A8K0U1	SCN2A
H9LP71	ND2
L0L5E6	MYH7
C8YGF5	ND3
Q496I0	COX7A2
Q4KMX6	ANAPC7
Q53Y97	TYMS
Q6EWN2	CHRNA3
Q6KEH6	CFTR
Q7YQB3	HLA-Cw
Q8TBC8	C21orf57
A0A024R0T0	ZNF576
P78428	TH
Q8N7Q0	FLJ40504
Q16605	GST2
Q59FP8	NEO1
Q8WXG0	TP73
Q96J97	EYA2
A0A024RA78	PDE1C
A6Z2S4	ND1
G3LGR5	ITGA2
Q0PK43	DCT
Q2HLC6	CYTB
Q4VFB0	ND2
Q5VVF0	ZNF451
Q6JHV3	USP3
Q6M1B7	DKFZp781E0833
Q6WQA1	COX3
Q9NPR8	MUM1
Q9UKT1	G6E
T1PZM5	ND5
U3L8W6	COX3
B0EW43	CYTB
B4E3H9	GNLY
E9PRD7	GZMB
D6W5K2	TMSB10
J3KQV6	COPS7B
Q5U0E6	HEL-S-95
W1IAG5	COI
A0A024R2E1	ITPR1
Q4VFC2	ND5
A0A024R935	KIAA0040
A0A024R953	TNNT2
A1DTW0	COX1
A0A024R643	KIAA1008
A8TMB7	ASFMR1
B3KQB0	ZFAND2B
C4PK48	CYTB
C9J7K9	PLSCR1
G8CWY9	GYPB
H9PR79	ND5
O95146	LAGE-2
Q05BP0	SLC34A1
P78557	PDHA1
Q06TG3	CYTB
Q56FN8	HLA-DRB1
Q769H0	SBP 1b
Q7LDD6	GYPB
Q8N9J9	LOC440337
V9HWC7	HEL-S-128m
A0A024R8W1	C17orf70
A0S3I6	CYTB
A6YVI1	CYTB
B2D5P9	ND6
B4DYN4	PIGL
D1G3Z1	CYTB
D6BZN8	ATP6
F1JZY1	ND2
E7EQL6	PRODH
G9G6C4	KIAA0101
E5RFH7	FAM92A1
I3ZN76	HLA-A
H3BNR6	VWA9
L0EPY0	TP53
Q0P5T2	C6orf136
Q16591	MYC
Q53XC6	LGMN
Q5NV68	V4-1
Q6PCC5	GRIN2C
Q6R5A7	ABO
Q6UXS7	SLED1
Q6XB34	Cytb
Q71QC6	ZNF331
Q9UBJ5	ALL-1
V9HW52	HEL-S-86p
A4Q9G9	PRDM7_V2
B3KWA8	ADCY5
B9EED1	NADH4
C5MK53	HLA-B
D6Q0F1	SMPD3
