ProteinA	ProteinB	Methods	References
Bcl-10	RIPK2	Co-immunoprecipitation;Luciferase assay	14638696
BinCARD	Bcl-10	GST fusion protein pull-down;Co-Immunofluorescence staining;Co-immunoprecipitation;Luciferase assay	15637807
CARD10	Bcl-10	GST fusion protein pull-down;Two-hybrid;Co-immunoprecipitation;Luciferase assay	11259443;11387339;19538180
CARD11	Bcl-10	GST fusion protein pull-down;In vitro purification protein assembly(chemical crosslinking);Two-hybrid;Co-Immunofluorescence staining;Co-immunoprecipitation;Luciferase assay;Immunofluorescence staining	11278692;20439115;11356195;12154360;16809782;16818229;17478723;18086859;18802088;19444310;19841089;21157432;21199863
CARD12	ASC	GST fusion protein pull-down;Two-hybrid;Yeast two-hybrid;Co-immunoprecipitation;β-galactosidase staining, Luciferase assay	11967258;11374873;19337385;12646168;15701651
CARD12	Caspase1	GST fusion protein pull-down;Co-immunoprecipitation;β-galactosidase staining	11390368;11374873;11472070;17418785
CARD12	Bcl-10	Co-immunoprecipitation	11472070
CARD12	NLRP1	Co-immunoprecipitation	11472070
CARD12	NOD2	Co-immunoprecipitation	11472070
CARD14	Bcl-10	GST fusion protein pull-down;Two-hybrid;Co-immunoprecipitation;Luciferase assay	11278692
CARD16	ASC	GST fusion protein pull-down	11967258
CARD16	CARD18	GST fusion protein pull-down;Co-immunoprecipitation	11536016
CARD16	CARD8	GST fusion protein pull-down;Co-immunoprecipitation	11821383
CARD16	Caspase1	GST fusion protein pull-down;Co-immunoprecipitation;Immunoprecipitation, ELISA;Immunoprecipitation	11536016;11821383;11432859
CARD16	CARD17	Co-immunoprecipitation	15383541
CARD16	RIPK2	Co-immunoprecipitation;Immunoprecipitation	11432859;11536016
CARD18	CARD16	GST fusion protein pull-down;Co-immunoprecipitation	11536016
CARD18	CARD8	GST fusion protein pull-down	11821383
CARD18	Caspase1	GST fusion protein pull-down;In vitro purification protein assembly(immunoprecipitation);Co-immunoprecipitation;Immunoprecipitation;Caspase1 binding assay	11536016;11051551
CARD18	CARD17	Co-immunoprecipitation	15383541
CARD18	RIPK2	Co-immunoprecipitation	11536016
CARD8	CARD16	GST fusion protein pull-down;Co-immunoprecipitation	11821383
CARD8	CARD18	GST fusion protein pull-down	11821383
CARD8	Caspase1	GST fusion protein pull-down;Yeast two-hybrid;Co-immunoprecipitation;Caspase cleaved assay, ELISA	11821383;19337385;15030775
CARD8	Caspase9	GST fusion protein pull-down;Co-immunoprecipitation;DAPI staining, Immunoprecipitation	11408476
CARD8	CARD6	Co-immunoprecipitation	12775719
CARD9	Bcl-10	GST fusion protein pull-down;Two-hybrid;Co-Immunofluorescence staining;Co-immunoprecipitation;Luciferase assay;EMSA	11053425;20538615
CARD9	RIPK2	Co-immunoprecipitation;Western blotting	17486093
Caspase1	ASC	GST fusion protein pull-down;Yeast two-hybrid;Co-immunoprecipitation;Size-exclusion chromatography;ELISA;Luciferase assay	11967258;14634131;19337385;12019269;12667444;16585594;19401709;21862576;19066616
Caspase1	CARD12	GST fusion protein pull-down;Co-immunoprecipitation;β-galactosidase staining	11390368;11374873;11472070;17418785
Caspase1	CARD16	GST fusion protein pull-down;Co-immunoprecipitation;Immunoprecipitation, ELISA;Immunoprecipitation	11536016;11821383;11432859
Caspase1	CARD18	GST fusion protein pull-down;In vitro purification protein assembly(immunoprecipitation);Co-immunoprecipitation;Immunoprecipitation;Caspase1 binding assay	11536016;11051551
Caspase1	CARD8	GST fusion protein pull-down;Yeast two-hybrid;Co-immunoprecipitation;Caspase cleaved assay, ELISA	11821383;19337385;15030775
