entrez_gene_ida	entrez_gene_idb	gene_symbol_a	gene_symbol_b	screens_found
163	129807	AP2B1	NEU4	1
164	8905	AP1G1	AP1S2	1
164	84993	AP1G1	UBL7	1
166	166	AES	AES	1
166	604	AES	BCL6	1
166	705	AES	BYSL	2
166	1406	AES	CRX	2
166	1656	AES	DDX6	1
166	2670	AES	GFAP	1
166	2801	AES	GOLGA2	2
166	2885	AES	GRB2	1
166	3185	AES	HNRNPF	2
166	3801	AES	KIFC3	1
166	3860	AES	KRT13	1
166	3866	AES	KRT15	2
166	3881	AES	KRT31	1
166	4004	AES	LMO1	1
166	4005	AES	LMO2	1
166	4088	AES	SMAD3	1
166	4154	AES	MBNL1	1
166	4236	AES	MFAP1	1
166	4253	AES	CTAGE5	1
166	4665	AES	NAB2	1
166	5562	AES	PRKAA1	1
166	5563	AES	PRKAA2	1
166	5859	AES	QARS	1
166	5966	AES	REL	2
166	5987	AES	TRIM27	1
166	6386	AES	SDCBP	2
166	6495	AES	SIX1	1
166	6498	AES	SKIL	1
166	6631	AES	SNRPC	2
166	6660	AES	SOX5	2
166	6733	AES	SRPK2	1
166	6925	AES	TCF4	1
166	6926	AES	TBX3	1
166	6945	AES	MLX	2
166	7185	AES	TRAF1	1
166	7186	AES	TRAF2	1
166	7726	AES	TRIM26	2
166	8241	AES	RBM10	1
166	8543	AES	LMO4	2
166	8553	AES	BHLHE40	2
166	8576	AES	STK16	1
166	8676	AES	STX11	1
166	8812	AES	CCNK	2
166	9470	AES	EIF4E2	2
166	9643	AES	MORF4L2	2
166	9743	AES	ARHGAP32	1
166	9841	AES	ZBTB24	1
166	9911	AES	TMCC2	1
166	10152	AES	ABI2	1
166	10241	AES	CALCOCO2	1
166	10783	AES	NEK6	1
166	10817	AES	FRS3	2
166	11030	AES	RBPMS	2
166	11338	AES	U2AF2	1
166	22806	AES	IKZF3	2
166	22893	AES	BAHD1	1
166	23154	AES	NCDN	2
166	23181	AES	DIP2A	2
166	23281	AES	MTUS2	2
166	23641	AES	LDOC1	1
166	25959	AES	KANK2	1
166	26003	AES	GORASP2	2
166	26121	AES	PRPF31	2
166	29079	AES	MED4	1
166	29948	AES	OSGIN1	1
166	54955	AES	C1orf109	2
166	55048	AES	VPS37C	2
166	55072	AES	RNF31	1
166	55110	AES	MAGOHB	2
166	57594	AES	HOMEZ	1
166	57819	AES	LSM2	1
166	64098	AES	PARVG	2
166	64170	AES	CARD9	1
166	64782	AES	AEN	1
166	79005	AES	SCNM1	1
166	79177	AES	ZNF576	1
166	79444	AES	BIRC7	1
166	79616	AES	CCNJL	2
166	79720	AES	VPS37B	1
166	79843	AES	FAM124B	1
166	79869	AES	CPSF7	2
166	80022	AES	MYO15B	1
166	80705	AES	TSGA10	1
166	80742	AES	PRR3	2
166	81628	AES	TSC22D4	1
166	81629	AES	TSSK3	1
166	83746	AES	L3MBTL2	1
166	84304	AES	NUDT22	2
166	84528	AES	RHOXF2	1
166	84619	AES	ZGPAT	1
166	84766	AES	CRACR2A	1
166	84970	AES	C1orf94	2
166	84988	AES	PPP1R16A	1
166	85302	AES	FBF1	2
166	85376	AES	RIMBP3	1
166	85403	AES	EAF1	2
166	90933	AES	TRIM41	2
166	91544	AES	UBXN11	1
166	93986	AES	FOXP2	1
166	117286	AES	CIB3	2
166	123722	AES	FSD2	2
166	125115	AES	KRT40	1
166	127703	AES	C1orf216	1
166	147525	AES	LINC00526	1
166	154313	AES	C6orf165	1
166	167826	AES	OLIG3	1
166	220108	AES	FAM124A	1
166	222546	AES	RFX6	1
166	284001	AES	CCDC57	2
166	386675	AES	KRTAP10-7	2
166	386676	AES	KRTAP10-9	1
166	386681	AES	KRTAP10-8	1
166	386682	AES	KRTAP10-3	2
166	388677	AES	NOTCH2NL	2
172	7337	AFG3L1P	UBE3A	1
185	5149	AGTR1	PDE6H	1
190	2104	NR0B1	ESRRG	2
190	2516	NR0B1	NR5A1	1
191	191	AHCY	AHCY	1
191	10513	AHCY	APPBP2	1
191	79078	AHCY	C1orf50	2
191	91369	AHCY	ANKRD40	1
207	8115	AKT1	TCL1A	1
211	211	ALAS1	ALAS1	1
211	605	ALAS1	BCL7A	2
211	5493	ALAS1	PPL	1
211	6919	ALAS1	TCEA2	1
