Kinase;Entrez GeneID;Gene;Entrez GeneID;Category
AKT1;207;AKT1;207;Category 2
AKT1;207;AKT2;208;Category 2
AKT1;207;ESR2;2100;Category 2
AKT1;207;PHLPP;23239;Category 1
AKT1;207;APPL;26060;Category 2
AKT1;207;TCL6;27004;Category 1
AKT1;207;GRB10;2887;Category 2
AKT1;207;HSP90AA1;3320;Category 2
AKT1;207;HSP90AB1;3326;Category 2
AKT1;207;APLP2;334;Category 2
AKT1;207;IKBKB;3551;Category 2
AKT1;207;ILK;3611;Category 2
AKT1;207;IMPDH2;3615;Category 2
AKT1;207;IRS1;3667;Category 2
AKT1;207;KRT10;3858;Category 1
AKT1;207;MDM4;4194;Category 2
AKT1;207;METTL1;4234;Category 2
AKT1;207;MST1R;4486;Category 2
AKT1;207;MTCP1;4515;Category 1
AKT1;207;PAK1;5058;Category 2
AKT1;207;PDK1;5163;Category 2
AKT1;207;PDK2;5164;Category 1
AKT1;207;PDPK1;5170;Category 2
AKT1;207;PIK3R1;5295;Category 2
AKT1;207;PLXNA1;5361;Category 1
AKT1;207;PPL;5493;Category 2
AKT1;207;PPM1A;5494;Category 1
AKT1;207;PPP2CA;5515;Category 2
AKT1;207;PPP2R1A;5518;Category 1
AKT1;207;PRG2;5553;Category 1
AKT1;207;PKN2;5586;Category 2
AKT1;207;PRKCQ;5588;Category 2
AKT1;207;PRKCZ;5590;Category 2
AKT1;207;PRKDC;5591;Category 2
AKT1;207;TRIB3;57761;Category 1
AKT1;207;RPS6KB1;6198;Category 2
AKT1;207;AKTIP;64400;Category 1
AKT1;207;WNK1;65125;Category 2
AKT1;207;NCF1C;654817;Category 1
AKT1;207;SRC;6714;Category 2
AKT1;207;STAT1;6772;Category 2
AKT1;207;TSC1;7248;Category 2
AKT1;207;AHNAK;79026;Category 2
AKT1;207;UXS1;80146;Category 1
AKT1;207;TCL1A;8115;Category 1
AKT1;207;HIST2H2BE;8349;Category 2
AKT1;207;CASP3;836;Category 2
AKT1;207;CAMKK1;84254;Category 2
AKT1;207;SORBS2;8470;Category 2
AKT1;207;TNFSF11;8600;Category 1
AKT1;207;BCL10;8915;Category 1
AKT1;207;PIAS2;9063;Category 1
AKT1;207;MAPKAPK2;9261;Category 2
AKT1;207;MAPK8IP1;9479;Category 2
AKT1;207;RAB3D;9545;Category 1
AKT1;207;TCL1B;9623;Category 1
AKT1;207;BCL2L11;10018;Category 2
AKT1;207;CDC37;11140;Category 2
AKT1;207;CHN2;1124;Category 1
AKT1;207;CSNK2A1;1457;Category 2
