Kinase;Entrez GeneID;Gene;Entrez GeneID;Category
AKT1;207;THEM4;117145;Category 1
AKT1;207;ESR1;2099;Category 4
AKT1;207;EZH2;2146;Category 4
AKT1;207;FANCA;2175;Category 4
AKT1;207;FOXO1A;2308;Category 4
AKT1;207;FOXO3A;2309;Category 4
AKT1;207;FRAP1;2475;Category 4
AKT1;207;GATA1;2623;Category 4
AKT1;207;GATA2;2624;Category 4
AKT1;207;GSK3A;2931;Category 4
AKT1;207;GSK3B;2932;Category 4
AKT1;207;HD;3064;Category 4
AKT1;207;HMOX1;3162;Category 4
AKT1;207;NR4A1;3164;Category 4
AKT1;207;BIRC4;331;Category 4
AKT1;207;IRAK1;3654;Category 4
AKT1;207;AR;367;Category 4
AKT1;207;ITGB3;3690;Category 4
AKT1;207;MDM2;4193;Category 4
AKT1;207;MAP3K5;4217;Category 4
AKT1;207;MAP3K11;4296;Category 4
AKT1;207;MLLT7;4303;Category 4
AKT1;207;NOS3;4846;Category 4
AKT1;207;YBX1;4904;Category 4
AKT1;207;PDE3B;5140;Category 4
AKT1;207;PFKFB2;5208;Category 4
AKT1;207;KIAA1212;55704;Category 4
AKT1;207;BAD;572;Category 4
AKT1;207;PTEN;5728;Category 4
AKT1;207;PTPN1;5770;Category 4
AKT1;207;RAC1;5879;Category 4
AKT1;207;RAF1;5894;Category 4
AKT1;207;ATXN1;6310;Category 4
AKT1;207;MAP2K4;6416;Category 4
AKT1;207;BRCA1;672;Category 4
AKT1;207;BRAF;673;Category 4
AKT1;207;TERT;7015;Category 4
AKT1;207;TSC2;7249;Category 4
AKT1;207;YWHAZ;7534;Category 4
AKT1;207;CASP9;842;Category 4
AKT1;207;AKT1S1;84335;Category 4
AKT1;207;PEA15;8682;Category 4
AKT1;207;GAB2;9846;Category 4
AKT1;207;CDKN1A;1026;Category 4
AKT1;207;CDKN1B;1027;Category 4
AKT1;207;CHEK1;1111;Category 4
AKT1;207;CHUK;1147;Category 4
AKT1;207;CREB1;1385;Category 4
AKT1;207;DLC1;10395;Category 4
AKT1;207;EDG1;1901;Category 4
AKT1;207;EIF4EBP1;1978;Category 4
AKT1;207;EP300;2033;Category 4
AKT1;207;MAP3K8;1326;Category 4
AKT1;207;SH2B2;10603;Category 4
AKT1;207;YAP1;10413;Category 4
AKT2;208;AKT2;208;Category 2
AKT2;208;FSHR;2492;Category 1
AKT2;208;APPL;26060;Category 2
AKT2;208;GSK3B;2932;Category 2
AKT2;208;HSP90AA1;3320;Category 2
AKT2;208;HSP90AB1;3326;Category 2
AKT2;208;MTCP1;4515;Category 1
AKT2;208;NOS3;4846;Category 2
AKT2;208;ABI3;51225;Category 1
AKT2;208;PDPK1;5170;Category 2
AKT2;208;SH3RF1;57630;Category 1
AKT2;208;TRIB3;57761;Category 1
AKT2;208;SLC2A4;6517;Category 1
AKT2;208;TSC2;7249;Category 2
AKT2;208;TCL1A;8115;Category 1
AKT2;208;RAB3D;9545;Category 1
AKT2;208;TCL1B;9623;Category 1
AKT2;208;CDC37;11140;Category 2
AKT2;208;MAP3K5;4217;Category 3
AKT2;208;VIL2;7430;Category 3
AKT2;208;ESR1;2099;Category 4
AKT2;208;BIRC4;331;Category 4
AKT2;208;MLLT7;4303;Category 4
AKT2;208;AKT1S1;84335;Category 4
AKT2;208;CHUK;1147;Category 4
AKT3;10000;CDC37;11140;Category 2
AKT3;10000;PDK1;5163;Category 2
AKT3;10000;PDPK1;5170;Category 2
AKT3;10000;PRKCD;5580;Category 2
AKT3;10000;PRKCG;5582;Category 2
AKT3;10000;PRKCZ;5590;Category 2
AKT3;10000;TSC2;7249;Category 2
AKT3;10000;TCL1A;8115;Category 1
ADRBK1;156;ADRA2A;150;Category 2
ADRBK1;156;AGTR1;185;Category 2
ADRBK1;156;EGFR;1956;Category 2
ADRBK1;156;FREQ;23413;Category 1
ADRBK1;156;FSHR;2492;Category 1
ADRBK1;156;GNAQ;2776;Category 1
ADRBK1;156;GIT1;28964;Category 2
ADRBK1;156;GRM1;2911;Category 2
ADRBK1;156;ARRB1;408;Category 2
ADRBK1;156;OPRM1;4988;Category 2
ADRBK1;156;PEBP1;5037;Category 2
ADRBK1;156;PDCL;5082;Category 2
ADRBK1;156;PDC;5132;Category 2
ADRBK1;156;PIK3CG;5294;Category 2
ADRBK1;156;PRKACA;5566;Category 2
ADRBK1;156;PRKCA;5578;Category 2
ADRBK1;156;PRKCB1;5579;Category 2
ADRBK1;156;PRKCD;5580;Category 2
ADRBK1;156;PRKCG;5582;Category 2
ADRBK1;156;MAPK3;5595;Category 2
ADRBK1;156;RCVRN;5957;Category 1
ADRBK1;156;RHO;6010;Category 2
ADRBK1;156;BDKRB2;624;Category 2
ADRBK1;156;SRC;6714;Category 2
ADRBK1;156;CAPN2;824;Category 2
ADRBK1;156;CAV1;857;Category 2
ADRBK1;156;AKAP12;9590;Category 2
ADRBK1;156;GIT2;9815;Category 2
ADRBK1;156;CCR4;1233;Category 1
ADRBK1;156;CCR5;1234;Category 2
ADRBK1;156;PDGFRB;5159;Category 3
ADRBK1;156;TUBB3;10381;Category 3
ADRBK1;156;ADRB2;154;Category 3
ADRBK1;156;VIL2;7430;Category 3
ADRBK1;156;HRH1;3269;Category 3
ADRBK1;156;FPR1;2357;Category 4
ADRBK1;156;MC4R;4160;Category 4
ADRBK1;156;OPRD1;4985;Category 4
ADRBK1;156;PDE6G;5148;Category 4
ADRBK1;156;RPLP2;6181;Category 4
ADRBK1;156;SNCA;6622;Category 4
PRKG1;5592;GABRR1;2569;Category 2
PRKG1;5592;ITPR1;3708;Category 2
PRKG1;5592;NPR1;4881;Category 2
PRKG1;5592;PPP1R12A;4659;Category 2
PRKG1;5592;PRKCA;5578;Category 2
PRKG1;5592;RAF1;5894;Category 2
PRKG1;5592;RYR1;6261;Category 2
PRKG1;5592;SPP1;6696;Category 2
PRKG1;5592;TNNT1;7138;Category 1
PRKG1;5592;RAP1B;5908;Category 3
PRKG1;5592;FHOD1;29109;Category 3
PRKG1;5592;LOC727795;727795;Category 3
PRKG1;5592;HRH1;3269;Category 3
PRKG1;5592;C7orf16;10842;Category 4
PRKG1;5592;CFTR;1080;Category 4
PRKG1;5592;CREB1;1385;Category 4
PRKG1;5592;CRIP2;1397;Category 4
PRKG1;5592;GTF2I;2969;Category 4
PRKG1;5592;LASP1;3927;Category 4
PRKG1;5592;MRVI1;10335;Category 4
PRKG1;5592;PLCB3;5331;Category 4
PRKG1;5592;03-Sep;55964;Category 4
PRKG1;5592;RGS2;5997;Category 4
PRKG1;5592;TRPC3;7222;Category 4
PRKG1;5592;VASP;7408;Category 4
PRKG1;5592;SF1;7536;Category 4
PRKG1;5592;GKAP1;80318;Category 4
PRKG1;5592;PDE5A;8654;Category 4
PRKG2;5593;MYLK;4638;Category 2
PRKG2;5593;VASP;7408;Category 3
PRKG2;5593;CFTR;1080;Category 3
PRKG2;5593;LOC727795;727795;Category 3
PRKG2;5593;LASP1;3927;Category 4
PRKG2;5593;PLCB3;5331;Category 4
PRKG2;5593;PTS;5805;Category 4
DMPK;1760;CUGBP1;10658;Category 1
DMPK;1760;ATN1;1822;Category 2
DMPK;1760;HSPB2;3316;Category 1
DMPK;1760;FXYD1;5348;Category 2
DMPK;1760;PLN;5350;Category 2
DMPK;1760;UBQLN4;56893;Category 1
DMPK;1760;RAF1;5894;Category 2
DMPK;1760;RARG;5916;Category 1
DMPK;1760;ATXN1;6310;Category 2
DMPK;1760;SP1;6667;Category 2
DMPK;1760;GABARAP;11337;Category 1
DMPK;1760;PPP1R12A;4659;Category 4
CDC42BPG;55561;CDC42BPG;55561;Category 1
CDC42BPG;55561;RAC1;5879;Category 2
CDC42BPG;55561;CDC42;998;Category 2
GRK4;2868;FSHR;2492;Category 1
GRK4;2868;CALM1;801;Category 2
GRK4;2868;BDKRB2;624;Category 4
GRK5;2869;AGTR1;185;Category 2
GRK5;2869;CHRM2;1129;Category 2
GRK5;2869;GIT1;28964;Category 2
GRK5;2869;AVPR1A;552;Category 2
GRK5;2869;AVPR1B;553;Category 2
GRK5;2869;AVPR2;554;Category 2
GRK5;2869;RCVRN;5957;Category 1
GRK5;2869;RHO;6010;Category 2
GRK5;2869;TACR1;6869;Category 1
GRK5;2869;TBXA2R;6915;Category 2
GRK5;2869;CAV1;857;Category 2
GRK5;2869;DLGAP2;9228;Category 1
GRK5;2869;ADRB2;154;Category 4
GRK5;2869;GRK5;2869;Category 4
GRK5;2869;BDKRB2;624;Category 4
GRK5;2869;SNCB;6620;Category 4
GRK5;2869;SNCA;6622;Category 4
GRK5;2869;SNCG;6623;Category 4
GRK6;2870;ADRB2;154;Category 2
GRK6;2870;CHRM3;1131;Category 1
GRK6;2870;EDNRA;1909;Category 1
GRK6;2870;EDNRB;1910;Category 2
GRK6;2870;FSHR;2492;Category 1
GRK6;2870;GIT1;28964;Category 2
GRK6;2870;RCVRN;5957;Category 1
GRK6;2870;RHO;6010;Category 2
GRK6;2870;TBXA2R;6915;Category 2
GRK6;2870;PRSS23;11098;Category 1
GRK6;2870;GRK6;2870;Category 4
GRK6;2870;BDKRB2;624;Category 4
GRK6;2870;SNCA;6622;Category 4
GRK6;2870;SLC9A3R1;9368;Category 4
GRK6;2870;LTB4R;1241;Category 4
MAST3;23031;CNTNAP4;85445;Category 1
MAST2;23139;STK36;27148;Category 1
MAST2;23139;PCLKC;54825;Category 1
MAST2;23139;PTEN;5728;Category 2
MAST2;23139;RPS27A;6233;Category 1
MAST2;23139;SLC34A1;6569;Category 1
MAST2;23139;SNTB2;6645;Category 2
MAST2;23139;TRAF2;7186;Category 1
MAST2;23139;TRAF6;7189;Category 1
MAST2;23139;DYNLL1;8655;Category 1
RPS6KA5;9252;ATF2;1386;Category 2
RPS6KA5;9252;BAD;572;Category 2
RPS6KA5;9252;CEBPB;1051;Category 2
RPS6KA5;9252;CREBBP;1387;Category 2
RPS6KA5;9252;EP300;2033;Category 2
RPS6KA5;9252;HIST1H1B;3009;Category 2
RPS6KA5;9252;HIST3H2BB;128312;Category 2
RPS6KA5;9252;HIST4H4;121504;Category 1
RPS6KA5;9252;HMGN1;3150;Category 2
RPS6KA5;9252;HSPB2;3316;Category 1
RPS6KA5;9252;IFNA2;3440;Category 1
RPS6KA5;9252;MAPK11;5600;Category 1
RPS6KA5;9252;MBP;4155;Category 2
RPS6KA5;9252;RELA;5970;Category 2
RPS6KA5;9252;ATF1;466;Category 4
RPS6KA5;9252;CREB1;1385;Category 4
RPS6KA5;9252;EIF4EBP1;1978;Category 4
RPS6KA5;9252;ETV1;2115;Category 4
RPS6KA5;9252;HIST3H3;8290;Category 4
RPS6KA5;9252;NR4A1;3164;Category 4
RPS6KA5;9252;PLA2G4A;5321;Category 4
RPS6KA5;9252;HIST3H2A;92815;Category 4
RPS6KA5;9252;STAT1;6772;Category 4
RPS6KA5;9252;STAT3;6774;Category 4
RPS6KA5;9252;STK11;6794;Category 4
RPS6KA5;9252;TH;7054;Category 4
RPS6KA4;8986;FOS;2353;Category 2
RPS6KA4;8986;HMGN1;3150;Category 2
RPS6KA4;8986;MAP2K1;5604;Category 2
RPS6KA4;8986;MAPK1;5594;Category 2
RPS6KA4;8986;MAPK14;1432;Category 2
RPS6KA4;8986;MAPK3;5595;Category 2
RPS6KA4;8986;RPS6KA4;8986;Category 2
RPS6KA4;8986;ATF1;466;Category 4
RPS6KA4;8986;CREB1;1385;Category 4
STK38;11329;S100B;6285;Category 1
STK38;11329;YWHAB;7529;Category 2
STK38;11329;YWHAZ;7534;Category 2
STK38;11329;HCCA2;81532;Category 1
STK38;11329;CTDP1;9150;Category 2
STK38;11329;STK38;11329;Category 4
ROCK2;9475;MBP;4155;Category 2
ROCK2;9475;STAU1;6780;Category 1
ROCK2;9475;GFAP;2670;Category 3
ROCK2;9475;ADD1;118;Category 3
ROCK2;9475;DPYSL2;1808;Category 3
ROCK2;9475;RDX;5962;Category 3
ROCK2;9475;DES;1674;Category 3
ROCK2;9475;MSN;4478;Category 3
ROCK2;9475;LIMK2;3985;Category 3
ROCK2;9475;VIM;7431;Category 3
ROCK2;9475;LIMK1;3984;Category 3
ROCK2;9475;PPP1R12A;4659;Category 4
RPS6KB1;6198;EIF4EBP1;1978;Category 2
RPS6KB1;6198;IFNA1;3439;Category 1
RPS6KB1;6198;MAPK1;5594;Category 2
RPS6KB1;6198;MAPT;4137;Category 2
RPS6KB1;6198;NCBP1;4686;Category 2
RPS6KB1;6198;NEK6;10783;Category 2
RPS6KB1;6198;PPP1R9A;55607;Category 1
RPS6KB1;6198;PPP2CA;5515;Category 2
RPS6KB1;6198;RAC1;5879;Category 2
RPS6KB1;6198;STK11;6794;Category 2
RPS6KB1;6198;TERT;7015;Category 2
RPS6KB1;6198;COASY;80347;Category 2
RPS6KB1;6198;PPP1R9B;84687;Category 2
RPS6KB1;6198;TRAF4;9618;Category 1
RPS6KB1;6198;CDC2;983;Category 2
RPS6KB1;6198;CDC42;998;Category 2
RPS6KB1;6198;FADD;8772;Category 3
RPS6KB1;6198;EIF4B;1975;Category 3
RPS6KB1;6198;RPS6KB1;6198;Category 3
RPS6KB1;6198;EEF2K;29904;Category 4
RPS6KB1;6198;FRAP1;2475;Category 4
RPS6KB1;6198;PDPK1;5170;Category 4
RPS6KB1;6198;RPS6;6194;Category 4
RPS6KB1;6198;POLDIP3;84271;Category 4
RPS6KB2;6199;FRAP1;2475;Category 2
RPS6KB2;6199;PDPK1;5170;Category 2
RPS6KB2;6199;COASY;80347;Category 2
RPS6KB2;6199;HSPB1;3315;Category 3
RPS6KB2;6199;LMNB1;4001;Category 3
RPS6KB2;6199;KRT18;3875;Category 3
RPS6KB2;6199;RPS6;6194;Category 3
RPS6KB2;6199;EEF2K;29904;Category 4
PRKCH;5583;AKAP13;11214;Category 1
PRKCH;5583;CDK2;1017;Category 2
PRKCH;5583;FYN;2534;Category 2
PRKCH;5583;PDPK1;5170;Category 2
PRKCH;5583;PRKCH;5583;Category 1
PRKCH;5583;PTPN11;5781;Category 2
PRKCH;5583;SRC;6714;Category 2
PRKCH;5583;CCNE1;898;Category 2
PRKCH;5583;ITGB2;3689;Category 4
PRKCH;5583;PRKD1;5587;Category 4
PDPK1;5170;CDAN1;146059;Category 1
PDPK1;5170;FRAP1;2475;Category 2
PDPK1;5170;HSP90AA1;3320;Category 2
PDPK1;5170;ILK;3611;Category 2
PDPK1;5170;IRS1;3667;Category 2
PDPK1;5170;PNN;5411;Category 2
PDPK1;5170;PRKACA;5566;Category 2
PDPK1;5170;PRKCB1;5579;Category 2
PDPK1;5170;PRKCI;5584;Category 2
PDPK1;5170;PRKCQ;5588;Category 2
PDPK1;5170;PXN;5829;Category 2
PDPK1;5170;RALGDS;5900;Category 1
PDPK1;5170;RPS6KA3;6197;Category 2
PDPK1;5170;AKTIP;64400;Category 1
PDPK1;5170;SRC;6714;Category 2
PDPK1;5170;YWHAH;7533;Category 2
PDPK1;5170;CARD11;84433;Category 1
PDPK1;5170;SLC9A3R2;9351;Category 2
PDPK1;5170;PRSS23;11098;Category 1
PDPK1;5170;PTK2B;2185;Category 2
PDPK1;5170;STRAP;11171;Category 1
PDPK1;5170;YWHAQ;10971;Category 2
PDPK1;5170;RPS6KB1;6198;Category 4
PDPK1;5170;AKT2;208;Category 4
PDPK1;5170;RPS6KB2;6199;Category 4
PDPK1;5170;AKT3;10000;Category 4
PDPK1;5170;AKT1;207;Category 4
PDPK1;5170;ITGB3;3690;Category 4
PDPK1;5170;PAK1;5058;Category 4
PDPK1;5170;PDPK1;5170;Category 4
PDPK1;5170;PRKCD;5580;Category 4
PDPK1;5170;PRKCE;5581;Category 4
PDPK1;5170;PKN1;5585;Category 4
PDPK1;5170;PKN2;5586;Category 4
PDPK1;5170;PRKCZ;5590;Category 4
PDPK1;5170;RPS6KA1;6195;Category 4
PDPK1;5170;SGK;6446;Category 4
PDPK1;5170;SGK2;10110;Category 4
PDPK1;5170;SGK3;23678;Category 4
CDC42BPA;8476;LIMK1;3984;Category 4
CDC42BPA;8476;LIMK2;3985;Category 4
PRKACA;5566;ADCY5;111;Category 1
PRKACA;5566;AKAP14;158798;Category 1
PRKACA;5566;AKAP8L;26993;Category 2
PRKACA;5566;C7orf16;10842;Category 2
PRKACA;5566;CREM;1390;Category 2
PRKACA;5566;EGFR;1956;Category 2
PRKACA;5566;ESR1;2099;Category 2
PRKACA;5566;FXYD1;5348;Category 2
PRKACA;5566;GUSB;2990;Category 2
PRKACA;5566;HSPD1;3329;Category 2
PRKACA;5566;IFNAR1;3454;Category 2
PRKACA;5566;ITPKB;3707;Category 1
PRKACA;5566;ITPR1;3708;Category 2
PRKACA;5566;ITPR2;3709;Category 1
PRKACA;5566;MEP1B;4225;Category 2
PRKACA;5566;MGMT;4255;Category 2
PRKACA;5566;NIN;51199;Category 1
PRKACA;5566;NMT1;4836;Category 2
PRKACA;5566;NPR1;4881;Category 2
PRKACA;5566;NR3C1;2908;Category 2
PRKACA;5566;PHOX2A;401;Category 1
PRKACA;5566;PKIA;5569;Category 2
PRKACA;5566;PRKAR1A;5573;Category 2
PRKACA;5566;C11orf17;56672;Category 1
PRKACA;5566;PTPN13;5783;Category 1
PRKACA;5566;BCL2;596;Category 2
PRKACA;5566;RRAD;6236;Category 2
PRKACA;5566;SNAP25;6616;Category 2
PRKACA;5566;YWHAZ;7534;Category 2
PRKACA;5566;NUP85;79902;Category 1
PRKACA;5566;IQGAP1;8826;Category 2
PRKACA;5566;SLC9A3R2;9351;Category 2
PRKACA;5566;HAND2;9464;Category 1
PRKACA;5566;RSBN1;54665;Category 1
PRKACA;5566;ADRBK1;156;Category 4
PRKACA;5566;AANAT;15;Category 4
PRKACA;5566;ABCA1;19;Category 4
PRKACA;5566;ACCN2;41;Category 4
PRKACA;5566;ACLY;47;Category 4
PRKACA;5566;ADD1;118;Category 4
PRKACA;5566;ADD2;119;Category 4
PRKACA;5566;APC;324;Category 4
PRKACA;5566;ATP2B1;490;Category 4
PRKACA;5566;CACNG2;10369;Category 4
PRKACA;5566;CETN1;1068;Category 4
PRKACA;5566;CFTR;1080;Category 4
PRKACA;5566;CIITA;4261;Category 4
PRKACA;5566;CLDN3;1365;Category 4
PRKACA;5566;CSK;1445;Category 4
PRKACA;5566;DSP;1832;Category 4
PRKACA;5566;EEF2K;29904;Category 4
PRKACA;5566;EPB49;2039;Category 4
PRKACA;5566;ETV1;2115;Category 4
PRKACA;5566;FOS;2353;Category 4
PRKACA;5566;GABRR1;2569;Category 4
PRKACA;5566;GFAP;2670;Category 4
PRKACA;5566;GJA5;2702;Category 4
PRKACA;5566;GJB1;2705;Category 4
PRKACA;5566;GMFB;2764;Category 4
PRKACA;5566;GNA13;10672;Category 4
PRKACA;5566;GNMT;27232;Category 4
PRKACA;5566;GP1BB;2812;Category 4
PRKACA;5566;GRIA1;2890;Category 4
PRKACA;5566;GRIA4;2893;Category 4
PRKACA;5566;GSK3A;2931;Category 4
PRKACA;5566;GSK3B;2932;Category 4
PRKACA;5566;GYS1;2997;Category 4
PRKACA;5566;HMGCR;3156;Category 4
PRKACA;5566;HMGN1;3150;Category 4
PRKACA;5566;HMGN2;3151;Category 4
PRKACA;5566;HNRPD;3184;Category 4
PRKACA;5566;ITGA4;3676;Category 4
PRKACA;5566;ITPKA;3706;Category 4
PRKACA;5566;KCNH2;3757;Category 4
PRKACA;5566;KCNJ12;3768;Category 4
PRKACA;5566;KLF1;10661;Category 4
PRKACA;5566;LCK;3932;Category 4
PRKACA;5566;LCP1;3936;Category 4
PRKACA;5566;LIPE;3991;Category 4
PRKACA;5566;LRP1;4035;Category 4
PRKACA;5566;MAP2;4133;Category 4
PRKACA;5566;MAP3K3;4215;Category 4
PRKACA;5566;MAPT;4137;Category 4
PRKACA;5566;MBP;4155;Category 4
PRKACA;5566;MC4R;4160;Category 4
PRKACA;5566;MIP;4284;Category 4
PRKACA;5566;NFKB1;4790;Category 4
PRKACA;5566;NOS1;4842;Category 4
PRKACA;5566;PCTK1;5127;Category 4
PRKACA;5566;PDC;5132;Category 4
PRKACA;5566;PDE3B;5140;Category 4
PRKACA;5566;PDE4B;5142;Category 4
PRKACA;5566;PDE4D;5144;Category 4
PRKACA;5566;PFKFB2;5208;Category 4
PRKACA;5566;PHKA1;5255;Category 4
PRKACA;5566;PLIN;5346;Category 4
PRKACA;5566;PLN;5350;Category 4
PRKACA;5566;PPP1R8;5511;Category 4
PRKACA;5566;HDAC8;55869;Category 4
PRKACA;5566;PSEN1;5663;Category 4
PRKACA;5566;BAD;572;Category 4
PRKACA;5566;PTBP1;5725;Category 4
PRKACA;5566;PTPN7;5778;Category 4
PRKACA;5566;PTPN12;5782;Category 4
PRKACA;5566;PTPRR;5801;Category 4
PRKACA;5566;RAF1;5894;Category 4
PRKACA;5566;RAP1A;5906;Category 4
PRKACA;5566;RAP1B;5908;Category 4
PRKACA;5566;RAP1GAP;5909;Category 4
PRKACA;5566;RASGRF1;5923;Category 4
PRKACA;5566;CCND1;595;Category 4
PRKACA;5566;RELA;5970;Category 4
PRKACA;5566;RGS10;6001;Category 4
PRKACA;5566;RYR1;6261;Category 4
PRKACA;5566;RYR2;6262;Category 4
PRKACA;5566;SI;6476;Category 4
PRKACA;5566;SLC2A2;6514;Category 4
PRKACA;5566;SRC;6714;Category 4
PRKACA;5566;BRAF;673;Category 4
PRKACA;5566;AURKA;6790;Category 4
PRKACA;5566;STK11;6794;Category 4
PRKACA;5566;SYN1;6853;Category 4
PRKACA;5566;SYN2;6854;Category 4
PRKACA;5566;TH;7054;Category 4
PRKACA;5566;THOP1;7064;Category 4
PRKACA;5566;TPH1;7166;Category 4
PRKACA;5566;VASP;7408;Category 4
PRKACA;5566;VIM;7431;Category 4
PRKACA;5566;VTN;7448;Category 4
PRKACA;5566;WT1;7490;Category 4
PRKACA;5566;CACNA1C;775;Category 4
PRKACA;5566;CACNB2;783;Category 4
PRKACA;5566;CAD;790;Category 4
PRKACA;5566;DNAJC5;80331;Category 4
PRKACA;5566;CUL5;8065;Category 4
PRKACA;5566;PPP1R1B;84152;Category 4
PRKACA;5566;PPP1R9B;84687;Category 4
PRKACA;5566;SLC4A4;8671;Category 4
PRKACA;5566;NOLC1;9221;Category 4
PRKACA;5566;HAND1;9421;Category 4
PRKACA;5566;RGS14;10636;Category 4
PRKACA;5566;RHOA;387;Category 4
PRKACA;5566;SNAPAP;23557;Category 4
PRKACA;5566;STMN1;3925;Category 4
PRKACA;5566;STMN2;11075;Category 4
PRKACA;5566;PIN1;5300;Category 2
PRKACB;5567;PKIA;5569;Category 2
PRKACB;5567;PKIB;5570;Category 1
PRKACB;5567;NGFR;4804;Category 4
PRKCA;5578;ADCY5;111;Category 1
PRKCA;5578;ADRB2;154;Category 2
PRKCA;5578;AKAP13;11214;Category 1
PRKCA;5578;ANXA7;310;Category 1
PRKCA;5578;AVPR1A;552;Category 2
PRKCA;5578;CENTA1;11033;Category 2
PRKCA;5578;CISH;1154;Category 1
PRKCA;5578;DLG4;1742;Category 1
PRKCA;5578;DVL2;1856;Category 1
PRKCA;5578;EEF1D;1936;Category 2
PRKCA;5578;FAS;355;Category 1
PRKCA;5578;GABRR2;2570;Category 1
PRKCA;5578;GIPC1;10755;Category 1
PRKCA;5578;GNA12;2768;Category 1
PRKCA;5578;GNB2L1;10399;Category 2
PRKCA;5578;HABP4;22927;Category 2
PRKCA;5578;HMGB1;3146;Category 1
PRKCA;5578;HSPA1A;3303;Category 2
PRKCA;5578;ITGB1;3688;Category 2
PRKCA;5578;ITPKB;3707;Category 1
PRKCA;5578;KCNE4;23704;Category 1
PRKCA;5578;LMNB1;4001;Category 2
PRKCA;5578;MGMT;4255;Category 2
PRKCA;5578;MYLK;4638;Category 2
PRKCA;5578;OGG1;4968;Category 1
PRKCA;5578;POLB;5423;Category 2
PRKCA;5578;PPARA;5465;Category 2
PRKCA;5578;PRKCZ;5590;Category 2
PRKCA;5578;ACTA1;58;Category 2
PRKCA;5578;RAC1;5879;Category 2
PRKCA;5578;RARA;5914;Category 2
PRKCA;5578;RGS2;5997;Category 2
PRKCA;5578;AFAP;60312;Category 2
PRKCA;5578;SCTR;6344;Category 1
PRKCA;5578;SELL;6402;Category 1
PRKCA;5578;SEMG1;6406;Category 1
PRKCA;5578;SEMG2;6407;Category 1
PRKCA;5578;SLC1A1;6505;Category 1
PRKCA;5578;FSCN1;6624;Category 2
PRKCA;5578;STXBP3;6814;Category 1
PRKCA;5578;SYK;6850;Category 2
PRKCA;5578;BTK;695;Category 2
PRKCA;5578;TEP1;7011;Category 1
PRKCA;5578;TERT;7015;Category 2
PRKCA;5578;TIAM1;7074;Category 1
PRKCA;5578;C1QBP;708;Category 1
PRKCA;5578;XK;7504;Category 2
PRKCA;5578;YWHAG;7532;Category 1
PRKCA;5578;YWHAZ;7534;Category 2
PRKCA;5578;BTG2;7832;Category 1
PRKCA;5578;SDPR;8436;Category 1
PRKCA;5578;ARHGEF1;9138;Category 1
PRKCA;5578;PDLIM7;9260;Category 1
PRKCA;5578;CD9;928;Category 1
PRKCA;5578;PICK1;9463;Category 1
PRKCA;5578;HAND2;9464;Category 1
PRKCA;5578;AKAP5;9495;Category 1
