Q504U8	EGFR
Q8IYN9	PTK2
Q96HY3	CALM2
Q96HY3	CALM1
Q96HY3	CALM3
B4DWW4	MCM3
Q9BUB1	PRKAR2A
Q9HBD4	SMARCA4
M0QZW1	PRKD2
F5GWX5	CHD4
E7EUU4	EIF4G1
E7EVA0	MAP4
E9PGM1	EIF4G1
Q5VY93	ARHGEF2
A6NEM2	HCFC1
E9PC69	MARK2
M0R0P8	MYO9B
H0Y5W0	HUWE1
M0R300	MYO9B
E7ETY2	TCOF1
E7ETY4	MARK2
E9PHK9	TCOF1
F8VPD4	CAD
E9PQZ1	EEF1D
E9PL09	RPS3
B9ZVR1	MAP4
V9GYZ6	EPRS
Q5HY54	FLNA
E9PRY8	EEF1D
E9PCT1	SRRM1
F8W726	UBAP2L
K7EPB2	PRKAR1A
E9PK01	EEF1D
K7EJ40	PRKAR1A
H3BTN5	PKM
C9J6P4	ZC3HAV1
H3BQ34	PKM
F5GX68	DNMT1
E9PBS1	PAICS
K7EK41	PRKAR1A
Q2TAK2	PHF12
A8K8E1	TBC1D15
B7Z4C8	RPL31
B4E0R6	IPO5
B4DYB4	NUP35
B7Z4E3	RPL31
B4DT31	FUBP1
B7Z4N8	USP14
A8MYJ1	AKAP13
B4DY13	GTPBP4
B4DHY1	HNRNPH3
B4DME9	KLC4
B7Z888	SCAF8
B4DUN1	NELFE
B4DGU4	CTNNB1
F6U341	BAG6
G5E9E7	TJP1
B4DKM5	VDAC2
B4DS55	CCDC132
Q5T1Z8	PUM1
B4DJX4	PLEKHA5
B4DP61	SMN1
B4DP61	SMN2
C9JZR2	CTNND1
B7Z2S5	TXNRD1
B4E3P0	ACLY
B4DVB8	ELAVL1
B4DJ58	RSL1D1
Q5TH30	NDRG3
A8K8G0	HDGF
A8MXR0	LRRFIP2
B7Z2E6	YWHAZ
B7Z5C0	DNAJA1
Q96RR5	HCA90
Q96RR5	TPX2
F6WML8	BAG6
B7Z7A9	PGK1
B7ZB17	RPS6KA3
B4E2G4	PIK3C2A
Q5H962	HUWE1
B3KR41	MAD1L1
Q8WU40	CAMK2G
Q2YD85	KCNAB2
B7Z712	HSPD1
B4DDD6	DBNL
Q6IC75	GGA1
M0R2R2	PRKD2
K4DI93	CUL4B
B4DGD8	GAPVD1
B3KWB9	UBA2
B4DFG0	DEK
B4DXH1	NF1
B4DQ14	EIF2A
B4DF96	EIF2A
Q86U12	HSP90AA1
B4DTC3	HNRNPD
Q5TCI8	LMNA
