Q16539	Q9BUB5	human	human	AB;MA;WB	
Q96QT4	Q96QT4	human	human	MS	
P50750	O00267	human	human	MA;MS	
O14757	P84098	human	human	MS	
O14757	Q9P2D1	human	human	MS	
P06493	Q8WX93	human	human	MS	
O14757	Q96PK6	human	human	MS	
P24941	Q9BVC5	human	human	MS	
O14757	Q86WB0	human	human	MS	
P33981	P33981	human	human		
O14757	Q14669	human	human	MS	
P24941	Q53H80	human	human	MS	
P24941	Q86U86	human	human	MS	
Q96QT4	Q96QT4	human	human		
Q00534	Q08050	human	human	MA;WB;MS	
Q13535	Q14676	human	human	MS	
P24941	O75533	human	human	MS	
P24941	P29966	human	human	MS	
P24941	Q86VM9	human	human	MS	
P06239	Q9NP31	human	human	MS	
P24941	Q9Y2W1	human	human	MS	
Q96QT4	Q96QT4	human	human	MS	
Q96GD4	Q8TE77	human	human	MS	
P68400	Q02078	human	human	MS	
Q13315	Q9Y4E8	human	human	AB;WB;MS	
Q9NWZ3	Q96FA3	human	human		
P17252	P08253	human	human	MS	
P24941	Q8N3F8	human	human	MS	
P24941	Q4VCS5	human	human	MS	
P06493	Q01581	human	human	MS	
P68400	P16220	human	human	AB;MA;WB;MS	
P24941	P29966	human	human	MS	
P09619	P42684	human	human	MS	
P09619	Q05397	human	human	MA;WB;MS	
Q16512	Q9UQL6	human	human	MS	
P42345	O00418	human	human	MS	
Q13315	Q9NUW8	human	human	AB;WB;MS	
P24941	Q04323	human	human	MS	
Q13315	Q70CQ2	human	human	AB;WB;MS	
P51812	Q8IX03	human	human	AB;MA;WB;MS	
P42680	P51813	human	human	MS	
P24941	P13051	human	human	MS	
O14757	P49761	human	human	MS	
Q96QT4	Q96QT4	human	human	MS	
P24941	P13639	human	human	MS	
P68400	P25963	human	human		
P24941	Q7Z417	human	human	MS	
P24941	Q08999	human	human	MA;MS	
Q15759	P13807	human	human	MS	
Q96QT4	Q96QT4	human	human	MS	
P27361	Q8IZP0	human	human	MA;WB	
P24941	Q9Y314	human	human	MS	
P17252	O75689	human	human	MS	
P12931	Q05397	human	human	MS	
P06493	P30260	human	human	MS	
P05771	P28329	human	human	MA	
P42680	Q08881	human	human	MS	
Q9H2X6	Q9P1Z0	human	human	MS	
P24941	Q9Y2J2	human	human	MS	
P07947	P46527	human	human	AB;MA;WB	
P43405	Q8WV28	human	human	AB;MA;WB	
P07947	Q16555	human	human		
P06493	Q9Y2V2	human	human	MS	
P05771	P15336	human	human	AB;WB	
P42345	Q13322	human	human	AB;MA;MS	
O14757	Q14676	human	human	MS	
P48729	P42892	human	human	MA;MS	
P00519	P09619	human	human	MA;WB;MS	
P27361	P10415	human	human	AB;MA;WB	
Q9HC98	Q08345	human	human		
Q5S007	Q5S007	human	human	MS	
P53350	P30260	human	human	MS	
Q6PHR2	Q6PHR2	human	human	MS	
P28482	P49790	human	human	AB;WB;MS	
P51955	P51955	human	human	MS	
P17252	P08684	human	human	MS	
P24941	P12270	human	human	MS	
O14757	P49792	human	human	MS	
P24941	Q15942	human	human	MS	
P25098	P08172	human	human		
P45983	P98177	human	human	AB;WB;MS	
