O60674,Q06124,JAK2,PTPN11,JAK/STAT,RTK:JAK/STAT,1,1,1,8995399,
Q06124,O60674,PTPN11,JAK2,RTK:JAK/STAT,JAK/STAT,0,1,0,14522994:8995399:8639815:8912646:7559603,
P35568,P23458,IRS1,JAK1,RTK:JAK/STAT,RTK:JAK/STAT,1,1,1,9492017,
P23458,P35568,JAK1,IRS1,RTK:JAK/STAT,RTK:JAK/STAT,0,1,0,9013940:7499365:11162588,
P49841,O15169,GSK3B,AXIN1,RTK:Hedgehog:TGF:WNT/Wingless,RTK:TGF:WNT/Wingless,1,1,1,10318824:9734785:12511557:18632848:16199882:21242974:19131971:21502811:17318175:9482734:10488109:10581160,
O15169,P49841,AXIN1,GSK3B,RTK:TGF:WNT/Wingless,RTK:Hedgehog:TGF:WNT/Wingless,0,1,0,9554852:9734785:10228155:21502811,
Q02750,P27361,MAP2K1,MAPK3,RTK:Hedgehog,RTK:JAK/STAT:TGF,1,1,1,11242034:9733512:10748187:8226933,
P27361,Q02750,MAPK3,MAP2K1,RTK:JAK/STAT:TGF,RTK:Hedgehog,0,1,0,9922370:9006895:8626767:10748187:8226933,
P84022,P03372,SMAD3,ESR1,RTK:NHR:TGF:WNT/Wingless,NHR:TGF,1,1,1,11555647,
P03372,P84022,ESR1,SMAD3,NHR:TGF,RTK:NHR:TGF:WNT/Wingless,0,1,0,11555647:20207742,
Q15121,P27361,PEA15,MAPK3,RTK,RTK:JAK/STAT:TGF,1,1,-1,11702783:21900206,
P27361,Q15121,MAPK3,PEA15,RTK:JAK/STAT:TGF,RTK,0,1,0,18077417:11702783,
Q08334,Q8IU57,IL10RB,IFNLR1,JAK/STAT,JAK/STAT,1,1,1,12483210,
Q08334,Q8IU57,IL10RB,IFNLR1,JAK/STAT,JAK/STAT,1,1,-1,12483210,
Q9HAU4,Q15796,SMURF2,SMAD2,TGF:WNT/Wingless,RTK:TGF:WNT/Wingless,1,1,-1,14507671:11016919:15221015:11158580:19620243:15231748,
Q15796,Q9HAU4,SMAD2,SMURF2,RTK:TGF:WNT/Wingless,TGF:WNT/Wingless,0,1,0,11389444:19122240:19620243:20937913,
P84022,P46531,SMAD3,NOTCH1,RTK:NHR:TGF:WNT/Wingless,Notch:WNT/Wingless,1,1,1,14638857,
P46531,P84022,NOTCH1,SMAD3,Notch:WNT/Wingless,RTK:NHR:TGF:WNT/Wingless,0,1,0,14638857,
P36507,P28482,MAP2K2,MAPK1,RTK,RTK:TGF,1,1,1,16293107:11823456:11134045,
P28482,P36507,MAPK1,MAP2K2,RTK:TGF,RTK,0,1,0,9922370:11823456,
P49407,Q00987,ARRB1,MDM2,RTK:Hedgehog:Notch:WNT/Wingless,RTK,1,1,1,17303558:12538596:11588219:15878855,
P49407,Q00987,ARRB1,MDM2,RTK:Hedgehog:Notch:WNT/Wingless,RTK,1,1,-1,17303558:18544533:15878855,
P49768,Q9NZ42,PSEN1,MDS033,Notch,Notch,0,1,0,12522139:14572442:12198112,
Q9NZ42,P49768,MDS033,PSEN1,Notch,Notch,0,1,-1,15035625:14572442:12639958:12198112,
P08700,P26951,IL3,IL3RA,JAK/STAT,JAK/STAT,1,1,1,1465408,
P01308,P08069,INS,IGF1R,RTK,RTK,1,1,1,1851182,
P01241,P10912,GH1,GHR,JAK/STAT,JAK/STAT,1,1,1,1935820,
P11717,P01344,IGF2R,PP1446,RTK,RTK,1,1,-1,1966041,
Q16539,P61244,MAPK14,MAX,RTK:JAK/STAT:TGF,RTK,1,1,1,7479834,
Q99062,P23458,CSF3R,JAK1,JAK/STAT,RTK:JAK/STAT,1,1,1,7512720,
Q12851,Q13233,MAP4K2,MAP3K1,RTK,RTK:TGF,1,1,1,7515885,
P06241,P29353,FYN,SHC1,RTK,RTK,1,1,1,7516469:10482988:9710204:12237775:11075717:10764799:9121430:9446569:10816433:10896916:10921922:9741627,
P29459,P42701,IL12A,IL12RB1,JAK/STAT,JAK/STAT,1,1,1,7527811,
Q13115,P28482,DUSP4,MAPK1,RTK,RTK:TGF,1,1,-1,7535768,
Q13115,P27361,DUSP4,MAPK3,RTK,RTK:JAK/STAT:TGF,1,1,-1,7535768,
Q16539,P15336,MAPK14,ATF2,RTK:JAK/STAT:TGF,RTK,1,1,1,7535770:10085140:12110590:11259586,
P24394,P52333,582J2.1,JAK3,JAK/STAT,JAK/STAT,1,1,1,7538655,
P40238,O60674,MPL,JAK2,JAK/STAT,JAK/STAT,1,1,1,7543416,
P40225,P40238,THPO,MPL,JAK/STAT,JAK/STAT,1,1,1,7543416:9766811,
P40238,P29597,MPL,TYK2,JAK/STAT,JAK/STAT,1,1,1,7543416,
P27361,P19419,MAPK3,ELK1,RTK:JAK/STAT:TGF,RTK,1,1,1,7601337:12473660:16291755:8208531,
Q15418,P01100,RPS6KA1,FOS,RTK:WNT/Wingless,RTK,1,1,1,7601337:8248197:1545828,
P28482,Q15418,MAPK1,RPS6KA1,RTK:TGF,RTK:WNT/Wingless,1,1,1,7601337:12832467:12618428:12594221:9915826:9430688,
Q13588,P48736,GRAP,PIK3CG,RTK,RTK,1,1,1,7608146,
P45983,P19419,MAPK8,ELK1,RTK:JAK/STAT,RTK,1,1,1,7651411,
P01579,P38484,IFNG,IFNGR2,JAK/STAT,JAK/STAT,1,1,1,7673114,
P15514,P04626,AREGB,ERBB2,RTK,RTK,1,1,1,7679104,
P31785,P23458,IL2RG,JAK1,JAK/STAT,RTK:JAK/STAT,1,1,1,7721895:7973658,
P52333,P42229,JAK3,STAT5A,JAK/STAT,JAK/STAT,1,1,1,7777534,
P35568,O60674,IRS1,JAK2,RTK:JAK/STAT,JAK/STAT,1,1,1,7782332:9492017:11208867,
P45983,P15336,MAPK8,ATF2,RTK:JAK/STAT,RTK,1,1,1,7824938:7535770:7737129:7737130,
P60568,P31785,IL2,IL2RG,JAK/STAT,JAK/STAT,1,1,1,7829965,
P15056,Q02750,BRAF,MAP2K1,RTK,RTK:Hedgehog,1,1,1,7835430:16888650:8157000:8621729:8394352:7731720:16810323,
P24394,P23458,582J2.1,JAK1,JAK/STAT,RTK:JAK/STAT,1,1,1,7929391,
P31785,P52333,IL2RG,JAK3,JAK/STAT,JAK/STAT,1,1,1,7973658:7973659,
P01241,P16471,GH1,PRLR,JAK/STAT,JAK/STAT,1,1,1,7984244,
P48551,P23458,IFNAR2,JAK1,JAK/STAT,RTK:JAK/STAT,1,1,1,7988557:12133952,
P26441,P26992,CNTF,CNTFR,JAK/STAT,JAK/STAT,1,1,1,8081242:7810882:8627290:10812968,
P60953,Q13153,CDC42,PAK1,RTK:TGF,RTK,1,1,1,8107774:12650940,
P45983,P05412,MAPK8,JUN,RTK:JAK/STAT,RTK:WNT/Wingless,1,1,1,8137421:12052834:8586671:16983342:15302935:8654373:8224842:16291755,
P40189,O60674,IL6ST,JAK2,JAK/STAT,JAK/STAT,1,1,1,8174677,
P01562,P17181,IFNA13,IFNAR1,JAK/STAT,JAK/STAT,1,1,1,8181059,
P01574,P17181,IFNB1,IFNAR1,JAK/STAT,JAK/STAT,1,1,1,8181059:1834641,
P01562,P48551,IFNA13,IFNAR2,JAK/STAT,JAK/STAT,1,1,1,8181059,
P01574,P48551,IFNB1,IFNAR2,JAK/STAT,JAK/STAT,1,1,1,8181059,
P13232,P16871,IL7,IL7R,JAK/STAT,JAK/STAT,1,1,1,8204885,
