P31946	YWHAB
P62258	YWHAE
Q04917	YWHAH
Q04917	YWHA1
P61981	YWHAG
P31947	SFN
P31947	HME1
P27348	YWHAQ
P63104	YWHAZ
P30443	HLA-A
P30443	HLAA
P01892	HLA-A
P01892	HLAA
P04439	HLA-A
P04439	HLAA
P13746	HLA-A
P13746	HLAA
Q96QU6	ACCS
Q96QU6	PHACS
Q4AC99	ACCSL
P30447	HLA-A
P30447	HLAA
P05534	HLA-A
P05534	HLAA
P18462	HLA-A
P18462	HLAA
P30450	HLA-A
P30450	HLAA
P30512	HLA-A
P30512	HLAA
P16188	HLA-A
P16188	HLAA
P16189	HLA-A
P16189	HLAA
P10314	HLA-A
P10314	HLAA
P16190	HLA-A
P16190	HLAA
P30453	HLA-A
P30453	HLAA
P30455	HLA-A
P30455	HLAA
P30456	HLA-A
P30456	HLAA
P30457	HLA-A
P30457	HLAA
P01891	HLA-A
P01891	HLAA
P10316	HLA-A
P10316	HLAA
Q09160	HLA-A
Q09160	HLAA
P30459	HLA-A
P30459	HLAA
P01889	HLA-B
P01889	HLAB
P30460	HLA-B
P30460	HLAB
P30461	HLA-B
P30461	HLAB
P30462	HLA-B
P30462	HLAB
P30464	HLA-B
P30464	HLAB
P30466	HLA-B
P30466	HLAB
P03989	HLA-B
P03989	HLAB
P30685	HLA-B
P30685	HLAB
P18463	HLA-B
P18463	HLAB
Q95365	HLA-B
Q95365	HLAB
P30475	HLA-B
P30475	HLAB
Q04826	HLA-B
Q04826	HLAB
P30479	HLA-B
P30479	HLAB
P30480	HLA-B
P30480	HLAB
P30481	HLA-B
P30481	HLAB
P30483	HLA-B
P30483	HLAB
P30484	HLA-B
P30484	HLAB
P30485	HLA-B
P30485	HLAB
P30486	HLA-B
P30486	HLAB
P30487	HLA-B
P30487	HLAB
P30488	HLA-B
P30488	HLAB
P18464	HLA-B
P18464	HLAB
P30490	HLA-B
P30490	HLAB
P30491	HLA-B
P30491	HLAB
P30492	HLA-B
P30492	HLAB
P30493	HLA-B
P30493	HLAB
P30493	CDABP0067
P30495	HLA-B
P30495	HLAB
P18465	HLA-B
P18465	HLAB
Q29940	HLA-B
Q29940	HLAB
P10319	HLA-B
P10319	HLAB
Q29836	HLA-B
Q29836	HLAB
Q31612	HLA-B
Q31612	HLAB
P30498	HLA-B
P30498	HLAB
Q31610	HLA-B
Q31610	HLAB
Q29718	HLA-B
Q29718	HLAB
P30499	HLA-C
P30499	HLAC
P30501	HLA-C
P30501	HLAC
P04222	HLA-C
P04222	HLAC
P30504	HLA-C
