P68400	P06127	human	human	MA;MS	15174125;19690332;9834084
Q15208	Q15208	human	human	AB;MA;WB;MS	23897809;12493777;19836237;22322096;22445341
Q9UQM7	Q96PM5	human	human	WB;MS	17568776
P68400	Q06609	human	human	AB;MA;WB;MS	22325354
Q13131	Q8N122	human	human	AB;WB;MS	20169205;23142078;24247720;20227367;23928304;18439900;21460634;20354225;21900751;21460630
Q5S007	Q5S007	human	human	MS	21060682
P17252	P04004	human	human		9030777
O75582	P07101	human	human	AB;WB	9920892;9553069;7901013;14570886;19833152;16644734;12421349
Q02156	Q9BZL6	human	human	AB;WB;MS	19369195;11062248;12058027;18691976;16928771
Q16539	P49137	human	human		8846784
P51617	Q96FA3	human	human	MS	21204785;19264966
P31749	P49815	human	human	AB;MA;WB;MS	16636147;17018601;12438239;17386267;16702951;15342917;12582162;12150915;18707149;20169078
P07948	P11802	human	human	AB;MA;WB;MS	18479465
P28482	P84022	human	human	AB;MA;WB	19920136;19914168;15241418;10197981;20659902;19917253;20736297;15520018;16156666;21477078;9380693
Q16539	P42224	human	human	AB;MA;WB;MS	10645003;12068083;23045272;10792030;17897103;7543024;17341659;12807916;12007403;10748192;12562765;12759354;10918594;18566411;12093796;21159613;11884587;17167270;11438544;10542198;16799645;15548705;18378670;11777927;19147767;14962955;12526087;12270932;15994321;20058876;21398617;20675591;11839738;11972023;12748293;11875080;15322115;16951338;12429724;23836654;15979846;21303487;15703780;9153303;12637327;15051500
P28482	Q96FF9	human	human	MA;MS	21878504;21857030;20551060;23901111;17081983
P28482	O00562	human	human	AB;MA;WB;MS	15125835
Q96QT4	Q96QT4	human	human	MS	18365021
P00519	Q06609	human	human	AB;MS	9461559
P09619	P09619	human	human	AB;MA;WB	8940081;10821867;1314164
P06493	Q9H1A4	human	human	MS	14657031;22067460
P05771	P14598	human	human	MA	7657821;12056906;22460559;15657040;16297854;8089108;10559253;24632950
P53355	P04637	human	human	AB;MA;WB;MS	17245430;21148320;11447225;16651424;11397945;20562916;12902982;16377624;11258706;20673369;15064747;22797063;10734067;15843377;21383696;15471885;15322239;16731759;15254178;14527925;10706102;11495913;11707453;17353187;11875057;11896572;18159951;14612532;8327466;11850826;22728651;20041275;12427754;10673500;20024960;19882354;17105820;11030628;12756247;10570149;12959929;21454683;15629715;15750624;15963507;15269203;12384533;22285752;17135248;22030623;20009884;10656795;23798621;17121812;10710310;18778462;12969974;17698850;11526498;11244509;15140942;20962272;12091386;14517211;17977830;10673501;11861384;23871434;11175334;20696760;14665630;18593910;11551930;10202145;22815859;12676607;12955074;19861417;12861053;21832239;24657168;12810724;18669630;16774943;16818520;15671037;12531896;17339337;11423984;22112863;17363488;15489221;12860987;17967874;19819244;11583595
P43405	Q8WV28	human	human	AB;MA;WB	12456653;21394647;9697839
O14920	Q9NQC7	human	human	MA	15870263
P48729	P07910	human	human	MS	17287340;15687492;12564933;19664995;18318008;20166139
P27361	P27708	human	human	AB;MA;WB	14991569;17206380;15890648
P17252	P10636	human	human	MS	17562708;7706316;21204788
P49841	P10636	human	human	AB;WB;MS	15632108;9614189
Q15418	P30304	human	human	AB;MA;WB	23708659
P28482	O75582	human	human	AB;MA;WB;MS	17446865;15568999
P50750	O00267	human	human	MA;MS	10757782;16427012
P00519	P17931	human	human	AB;MA;WB;MS	20150913;20600357
P48729	P16220	human	human	AB;MA;WB;MS	20730097;17209043;19336000;23814058
P17948	P17948	human	human	AB;MA;WB	9722576;11583921;9299537;22177802
P28482	P28562	human	human	MA	16286470
P17612	P04792	human	human	AB;MA;WB;MS	18477563;18720982;12367505;10383393;17052767;15581903;24421331;18950704;11912188;20736484;19597476;21245386;23950959;21989268;17697330;11383510;16674116;14749215;1730670;17974989;21131586;12096113;1332886;17351657;21423207
P07948	P15391	human	human	AB;MA;MS	16497976;10933394;10201980
P07948	P46527	human	human	AB;MA;WB	21423214;16195327;22276948;18454177;21423803;19204084;17908796;17254966;17254967
Q13535	P15927	human	human	AB;MA;WB	20154705;17928296;24267891;24332808;9139719;15060176;19704001;19843584;14872059;21107010;17035231;9295339;18995830
Q15759	P13807	human	human	AB;WB;MS	19664994;17698598;19764811;19339242;20153492;17167773;21668450;22510711;14680475
P68400	P25963	human	human	MA;WB	8657113;11673497
P27361	P33981	human	human	AB;MA;WB;MS	18545697;18083840;18923149;22187426;18680479;18787396;22430208
P06241	P06127	human	human	AB;MA;MS	19605366;15659558;11751967;15144186;16493040;12522270;11298344
P68400	P18887	human	human	AB;MA;MS	15066279
Q13315	P38398	human	human	MA;MS	19683496;21706030;10550055
Q16566	Q04206	human	human	AB;MA;WB	15485852;21492457;21242976;18922932;20065107;20188669;21188622;15849198;21228323;17975552;15557193;20507904;17178723;17409387;15611068;14560022;22039465;16840782;21177808;18025230;16845370;18097051;17012367;11359840;18424438;16735506;19197368;10521409;16928747;20696864;12842894;19393267;17362989;20224721;15611276;18453612;23536830;15210811;22081069;19377466;21816815;22205033;16105840;17595324;20961594;24336331;20872791;21765477;16046471;17982102;19073147;17108032;16477006;24442433;20516073;20966071;15192014;16163708;12419817;14963024;16148147;12767944;17548605;15128824;12759443;20410276;12368228;15100319;16407239;21674474;16467309;15489227;17785205
P06493	Q14807	human	human	AB;MA;WB;MS	12727876
O00141	Q96PU5	human	human	MA;WB;MS	15328345;15140763;24657276
Q7KZI7	Q92974	human	human	AB;MA;WB	24352660;22072711;20406887
P24941	Q9BXR0	human	human	MS	18847512
P53350	O95613	human	human	AB;MA;WB	24466316;22184200
P28482	Q9H8Y8	human	human	MA;MS	11408587
P06493	P27816	human	human		10791892
Q13464	P68431	human	human	AB;WB;MS	21282660;19956839;16452462;16407273;12082625;16457588;21804608;19407812;17158874;11441012;12686604;20864036;17644761;21514157;21820363;18418070;22158034;20089855;15010460;15681610;15684425
P12931	Q01844	human	human	AB;MS	18698806
O14757	Q9UEY8	human	human	MS	20886841;20815410;17494752;21851590;22547687
P06241	P11137	human	human		16145685
P27361	P07101	human	human		11359875
P24941	P54198	human	human	AB;MA;WB;MS	11238922
P51812	Q14934	human	human	MA;WB;MS	17213202
P68400	Q9Y6W5	human	human	AB;MA;WB;MS	19012317;19917258
Q00534	Q08050	human	human	MA;WB;MS	22094256
P17252	P29966	human	human	MS	1650359;17962038;21762971
P24941	Q02539	human	human	AB;MA;WB;MS	20551309;19194518
P51813	Q05397	human	human	MS	23716717
P30291	P24941	human	human	AB;MA;WB;MS	12181445;22179839;23671119;7743995;18927589;21447384;19410646;18776048;14551212;17095507;12912980;16546994;1396589;18276582;15632290;17545210;23840880;21403953;9038181;20368335;18491316;15136770;11298456;19838212;13678583;19415658;20068230
Q15139	Q8WUI4	human	human	AB;MA;WB;MS	18509061;18617643;15623513;22251793;16980613
O00418	O00418	human	human	MS	24732796;22669845;22329831;16964243;22216903
